split,scene,family,condition,degradation,true_siting,base_kernel,mode,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,bicubic_sharp,algo6,0.0033907595856158433,35.996980497692604,0.03500052855931591,0.0,-0.05732720877319043,0.05732720877319043,0.07215016456534926,1.0537477801035304,0.03691088827326894,0.009660018231010153
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,bicubic_mitchell,plain,0.003552739407662074,35.132213439567494,0.036812817922324825,0.0,0.00042358093832927155,0.00042358093832927155,0.06543756264082981,1.455720636303757,0.0386742669423776,0.004810027304171983
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,bicubic_mitchell,algo6,0.00375112706392109,34.95519988323055,0.03881116644724682,0.0,-0.08510103039718948,0.08510103039718948,0.0721752175553224,1.4027989004156785,0.04083387110204924,0.0071215777813146515
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,spline16,plain,0.0033064347928143793,36.158731390968825,0.03411659004609646,0.0,0.0003913996674135437,0.0003913996674135437,0.06789984973510996,1.062201803405894,0.03599292968976356,0.008835733363715311
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,spline16,algo6,0.0033896527485969413,36.00600517941012,0.03498205459803622,0.0,-0.057167306079542624,0.057167306079542624,0.07167996121760323,1.0509309717174553,0.03689882052796228,0.009691586241214759
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,spline36,plain,0.0032689603176828427,36.4088969143058,0.032878368651998766,1.393865594374282e-08,0.0004585538334738816,0.0004585538334738816,0.06494804292548585,0.9943171349532876,0.035577522679453806,0.008612023738567672
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,spline36,algo6,0.0033286936543169064,36.268419859397795,0.033494352175726556,1.393865594374282e-08,-0.0519370221104072,0.0519370221104072,0.06847417309083144,0.9843831154372709,0.036227763896541934,0.009236059367789753
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,lanczos2,plain,0.0033437207264687295,35.974102822119455,0.03457796467595082,0.0,0.00036860234895527304,0.00036860234895527304,0.0724833379990353,1.114094167379067,0.03639887998412762,0.00831241617977087
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,lanczos2,algo6,0.0034445416860624458,35.8190280251944,0.03562157648839491,0.0,-0.06091453705486007,0.06091453705486007,0.07617110806490097,1.1002719878162768,0.0374963913955504,0.009349959935726864
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,lanczos3,plain,0.003224470517064316,36.561671798835775,0.03210922326298887,2.0071941738327343e-08,0.0004923899805098537,0.0004923899805098537,0.06524728467500825,0.9517139929753393,0.03509139245198596,0.00861681419579933
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,lanczos3,algo6,0.0032983033847936946,36.42244887114916,0.03287804891177378,2.0071941738327343e-08,-0.048958501158678835,0.048958501158678835,0.06861173287537796,0.9418846212878542,0.035895118822476695,0.009313573645028685
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,lanczos4,plain,0.003305109066216588,36.60457173153319,0.03160747071882768,6.479863908940128e-07,0.0005160572446911598,0.0005160572446911598,0.06267955068109189,0.9399540570733775,0.03589781318303375,0.008958770045345383
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,lanczos4,algo6,0.0033787716588511126,36.46459150168432,0.0323851192922142,6.479863908940128e-07,-0.04856818550409806,0.04856818550409806,0.06606406750957494,0.9306815340040495,0.03669968602203187,0.009761554072611034
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,jinc2,plain,0.0035668101257220726,35.25456047696946,0.03687602223855552,0.0,0.0004603242310902832,0.0004603242310902832,0.06726806805338058,1.394140520918503,0.03882743145472237,0.006097233177916635
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,jinc2,algo6,0.0037499672428003535,35.08271051210957,0.03873067035419808,0.0,-0.08054715592851626,0.08054715592851626,0.07333785970064274,1.3475011005628301,0.040821237001745475,0.0081017882385779
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,jinc3,plain,0.003567429214653122,36.2591478948973,0.0354898838903366,9.132366228316511e-09,0.0005989313374138069,0.0005989313374138069,0.062049528442196904,0.9981490569388536,0.0388150436448909,0.011452701474939073
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,jinc3,algo6,0.0036145104524751203,36.13788188975065,0.0359342339178879,9.132366228316511e-09,-0.05123586688443274,0.05123586688443274,0.0661689491602632,0.9850737206077118,0.039327559393963644,0.0118550854579856
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,jinc4,plain,0.0037537553203429376,36.09250685433638,0.03450362422616612,1.552879222713056e-06,0.0006448225514671655,0.0006448225514671655,0.05973647559414118,1.072659946038505,0.04068298963829875,0.009102288040421194
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,jinc4,algo6,0.0037867980782605643,35.95682674264183,0.035177829260072985,1.552879222713056e-06,-0.057847328387694956,0.057847328387694956,0.06439610441799529,1.05357640627391,0.04104268468827719,0.009778271185322887
development,dev_00103_sine_luma_only,sine,luma_only,box,left,bilinear,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,bilinear,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,bicubic_catrom,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
