study,scene,seed,family,condition,degradation,true_siting,observation,motion,base,bm,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,clean,,algo6_jinc3,1,0.00226724756492201,37.242221983986084,0.023069408052471034,5.939977459742554e-06,-0.005584710414346547,0.005584710414346547,0.022259919382368726,0.9550007428800167,0.024606258397744524,1.1400400760985279e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,clean,,algo6_lanczos4,0,0.0023698733463526894,37.20201322288221,0.023113353305667432,0.0,-0.006875299714081369,0.006875299714081369,0.01625487682426717,0.9634459127650472,0.02579789394734516,3.23745466413952e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,clean,,algo6_lanczos4,1,0.002295929698093439,37.23505873272886,0.022812817747676274,7.201088703281823e-06,-0.0053244448135307395,0.0053244448135307395,0.02112075610095974,0.955781210520358,0.02489823754876852,1.9529210978522623e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10,,algo2_lanczos3,0,0.003217942855891514,35.59914060962342,0.030225655712391535,0.0002853974833020142,-0.016255839046808416,0.016255839046808416,0.04344888942563653,1.3549741618783369,0.03240784661223491,3.924859421593803e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10,,algo2_lanczos3,1,0.003166742242735292,35.640655072961835,0.03003891350694638,0.00028668693266808987,-0.01571190149966866,0.01571190149966866,0.04210725780700676,1.3439578936498546,0.03183781881151455,1.912049594379607e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10,,algo6_jinc3,0,0.002601976289312963,37.21399411642372,0.023637260808148614,0.0002853974833020142,-0.007132602041136711,0.007132602041136711,0.016427776303255277,0.9639966389066132,0.025720962511730335,3.887429123833066e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10,,algo6_jinc3,1,0.0025301559763093932,37.23517436718954,0.02321898016914691,0.00028727304085069116,-0.005633596313159337,0.005633596313159337,0.022224881675922365,0.9565717851421831,0.0249287899960542,2.113747454824902e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10,,algo6_lanczos4,0,0.002641777224272694,37.19432773939967,0.023279593975703824,0.0002853974833020142,-0.007006612180651234,0.007006612180651234,0.016119233992843894,0.9651148148052551,0.026132258974636596,5.14932686374301e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10,,algo6_lanczos4,1,0.0025617186420091383,37.22858458663393,0.02296347213444148,0.00028799577973716495,-0.005452405804779252,0.005452405804779252,0.020953431449903907,0.9572692448994262,0.025235024624548498,3.449264026823498e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10_noise,,algo2_lanczos3,0,0.006979574656776721,35.1830726916302,0.03324974163004819,0.004189183267520829,-0.016446698157935796,0.016446698157935796,0.04400352752290006,1.3503217613524852,0.037526860434029786,0.0032992579162098644
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10_noise,,algo2_lanczos3,1,0.005271044466318469,35.47706705733778,0.032333021412417416,0.0023779166610135385,-0.015738804454171022,0.015738804454171022,0.0433899042897869,1.3414459794956373,0.035412249088819535,0.0023531405410418906
