split,scene,family,condition,degradation,true_siting,assumed_siting,method,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
test,test_01001_chevron_coedge,chevron,coedge,triangle,center,center,ablate_plus_rescue,0.002916077244087634,35.76232276961298,0.030355091858772148,0.0,-0.015344308360560718,0.015344308360560718,0.0943085547834582,1.4018752982863556,0.032413492644471784,2.1642162686302548e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,center,center,ablate_plus_anisotropy,0.002900872709085769,35.812817659939626,0.03019544424125256,0.0,-0.015356305826635042,0.015356305826635042,0.09442309525401908,1.3952251782478955,0.0322444870890606,2.1642162686302548e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,center,center,lgcr_algo2,0.0029279792517581983,35.811932581878345,0.03019544424125256,0.0,-0.015356305826635042,0.015356305826635042,0.09442309525401908,1.3952251782478955,0.03254578714924199,1.977951753707159e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,center,center,ablate_algo6_ungated,0.002731949234833104,35.15138480568102,0.02798046537825593,0.0,-0.004436759358911603,0.004436759358911603,0.06540321990370798,1.2542184293645375,0.03036683688073286,2.6875308581760952e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,center,center,ablate_algo6_plus_q,0.00275639563975334,35.129272451053495,0.028078615589276438,0.0,-0.0044570549572526715,0.0044570549572526715,0.06548705431134645,1.2580173321786536,0.0306385690013745,2.634312425340925e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,center,center,lgcr_algo6,0.0027625425783461776,35.12881936930607,0.028078615589276438,0.0,-0.0044570549572526715,0.0044570549572526715,0.06548705431134645,1.2580173321786536,0.0307068955929329,2.6254426865350632e-08
test,test_01001_chevron_coedge,chevron,coedge,bicubic,left,left,lgcr_plain_jinc,0.004008462086478873,34.29426922412888,0.040083160395451636,5.474291919242768e-11,0.036067467060716736,0.036067467060716736,0.06746613047183318,1.245157399090858,0.04455133154988289,0.010901231773286349
test,test_01001_chevron_coedge,chevron,coedge,bicubic,left,left,ablate_similarity,0.003155341947131752,36.713876670992136,0.03177829308827183,1.3166018539950961e-11,-0.06599225005721154,0.06599225005721154,0.0983028793155532,0.9945008000506359,0.03506852209656721,0.009255907553735943
test,test_01001_chevron_coedge,chevron,coedge,bicubic,left,left,ablate_plus_rescue,0.0031315010484642136,36.88185090144475,0.03152796365226268,1.3166018539950961e-11,-0.07110851199139466,0.07110851199139466,0.09124861037415483,0.9898155995197446,0.034803520067639294,0.009234286146238446
test,test_01001_chevron_coedge,chevron,coedge,bicubic,left,left,ablate_plus_anisotropy,0.0031259248270855463,36.909616723244426,0.031469413327786674,1.3166018539950961e-11,-0.07177746642457256,0.07177746642457256,0.09089206378636254,0.9878551990287341,0.03474153771198222,0.009228930775342243
test,test_01001_chevron_coedge,chevron,coedge,bicubic,left,left,lgcr_algo2,0.003221077886972501,36.7379927839466,0.032319803502927937,5.474291919242768e-11,-0.061399603710968975,0.061399603710968975,0.09077594621965182,1.032903548537834,0.035799206700176,0.009283409714477048
test,test_01001_chevron_coedge,chevron,coedge,bicubic,left,left,ablate_algo6_ungated,0.0034516952029988055,36.22285616712766,0.03445335683021594,5.474291919242768e-11,-0.002244630300562143,0.002244630300562143,0.06245344624307201,0.9225954167789587,0.03836262381325165,0.013108967016229317
test,test_01001_chevron_coedge,chevron,coedge,bicubic,left,left,ablate_algo6_plus_q,0.0034940161280300305,36.102766566459636,0.03478217140848626,5.474291919242768e-11,-0.0005014539342953061,0.0005014539342953061,0.06267194018895876,0.9401187924371315,0.03883303821619068,0.01299298675509081
